source	almaMmsId	hbzId	zdbId
mapping	990054188630206441	HT002211875	201224-8
mapping	990052448690206441	HT011060602	
mapping	990004199080206441	HT000479119	
mapping	990033734050206441	HT008469651	
mapping	990006220290206441	HT000708330	
mapping	990081480230206441	HT004886531	
mapping	990189113300206441	HT017010717	
mapping	990068454210206441	HT007150843	
mapping	990066668240206441	HT005508786	
mapping	990188286720206441	HT016937535	
mapping	990228661050206441	HT020057483	
mapping	990367219010206441	HT020528911	
mapping	99373848376306441	HT030708793	
mapping	990047160970206441	HT011087726	
mapping	990133392140206441	HT014208896	
mapping	990118881440206441	HT013564884	
mapping	990022177310206441	HT005292811	
mapping	990077322330206441	HT001745340	
mapping	990091198530206441	HT001770938	
mapping	990077454990206441	HT001790736	
mapping	990078050160206441	HT002017840	
mapping	990173432750206441	HT015827840	
mapping	990063311400206441	HT003400050	
mapping	990007425050206441	HT000844729	
mapping	990119933270206441	HT013671359	
mapping	990062649020206441	HT003007900	
mapping	990052713910206441	HT001249089	
mapping	990070062370206441	HT008175317	
mapping	990063228780206441	HT003351885	
mapping	990044980920206441	HT010656421	
mapping	990010005970206441	HT002761506	
mapping	990087377660206441	HT009132330	
mapping	990111694570206441	BT000122960	
mapping	990115612020206441	HT013235821	
mapping	990208340100206441	HT018674713	
mapping	990367212710206441	HT020528277	
mapping	990143195290206441	HT014587916	
mapping	99371910086606441	HT021721513	
mapping	990110696010206441	BT000022756	
mapping	990068479970206441	HT007165740	
mapping	990077668580206441	HT001863696	
mapping	990218014750206441	HT019299923	
mapping	990189959170206441	HT017091648	
mapping	990000129210206441	HT000015225	
mapping	990057431540206441	HT001451026	
mapping	990009165300206441	HT002650405	
mapping	990052743710206441	HT001252539	
mapping	990118238830206441	HT013499790	
mapping	990003182630206441	HT000362586	
mapping	990047952120206441	HT001353078	
mapping	990005686190206441	HT000648287	
mapping	990111835740206441	BT000137198	
mapping	990058185460206441	HT000040023	
mapping	990154017200206441	HT014813705	
mapping	990223119850206441	HT019591805	
mapping	990058752870206441	HT000931187	
mapping	990090885290206441	HT011073675	
mapping	99370968425406441	HT021075407	
mapping	990202474540206441	HT018129791	
mapping	990066226040206441	HT005447689	
mapping	990067415830206441	HT006336452	
mapping	990111152280206441	BT000068665	
mapping	990182064950206441	HT016507351	
mapping	990068100170206441	HT006745108	
mapping	990075975860206441	HT008880027	
mapping	990121481390206441	HT013827999	
mapping	990133289840206441	HT014198519	
mapping	99370837867306441	HT020952118	
mapping	99371932998406441	HT021730227	
mapping	990078763550206441	HT002354210	
mapping	990157544210206441	HT015133113	
mapping	990004809310206441	HT000548614	
mapping	990064285050206441	HT003946107	
mapping	990046317150206441	HT010922612	
mapping	99370853494606441	HT020972979	
mapping	990002072120206441	HT000236540	
mapping	99371243108606441	HT021285667	
mapping	990000790850206441	HT000090402	
mapping	990067046280206441	HT005770718	
mapping	990067256300206441	HT006244659	
mapping	990033016310206441	HT008328912	
mapping	990077531920206441	HT001823213	
mapping	990079494090206441	HT003173659	
mapping	990056733830206441	HT001398880	
mapping	990058489540206441	HT000899880	
mapping	990062301900206441	HT002808841	
mapping	990052883380206441	HT002091480	
mapping	990363222160206441	HT020130453	
mapping	990118933210206441	HT013570108	
mapping	990194407870206441	HT017526491	
mapping	990124456110206441	HT013897429	
mapping	990014037840206441	HT003693937	
mapping	990047823430206441	HT001331736	
mapping	990052608430206441	HT001236310	
mapping	990042179240206441	HT010112400	
mapping	990119067330206441	HT013583689	
mapping	990186974170206441	HT016808896	
mapping	990121910820206441	HT013871426	
mapping	990076780820206441	HT001575880	
mapping	990078274520206441	HT002104802	
mapping	99370735911806441	HT020909413	
mapping	990110840540206441	BT000037470	
mapping	990028541690206441	HT007445738	
mapping	990177324990206441	HT016126712	
mapping	990190333200206441	HT017127758	
mapping	990193930550206441	HT017479883	
mapping	990061171110206441	HT002163378	
mapping	990183697230206441	HT016667297	
mapping	990002164770206441	HT000247094	
mapping	990170611800206441	HT015617765	
mapping	990023264470206441	HT006171179	
mapping	990000052800206441	HT000006162	
mapping	990363291310206441	HT020137355	
mapping	990111727030206441	BT000126209	
mapping	990112223600206441	BT000176482	
mapping	990032225460206441	HT008176789	
mapping	990061536720206441	HT002439972	
mapping	990113229810206441	HT012995956	
mapping	990007301780206441	HT000830637	
mapping	990110593430206441	BT000011897	
mapping	990067200300206441	HT006213006	
mapping	990191749240206441	HT017269161	
mapping	990032092190206441	HT008138160	
mapping	990052565780206441	HT001231120	
mapping	990052696070206441	HT001247058	
mapping	990079637860206441	HT003289999	
mapping	990188389490206441	HT016946936	
mapping	990111429990206441	BT000096460	
mapping	990124813990206441	HT013933626	
mapping	990078747150206441	HT002346578	
mapping	990365956390206441	HT020402906	
mapping	990048350710206441	HT002190633	
mapping	990111172950206441	BT000070734	
mapping	990164613870206441	HT015418793	
mapping	990192744210206441	HT017363978	
mapping	990047943620206441	HT001351484	
mapping	990066457750206441	HT005478922	
mapping	990071999240206441	HT009332601	
mapping	990052599470206441	HT001235235	
mapping	990052896790206441	HT002123061	
mapping	990064284980206441	HT003946085	
mapping	990143347780206441	HT014603322	
mapping	990112187680206441	BT000172865	
mapping	990117103000206441	HT013386567	
mapping	990032328200206441	HT008196950	
mapping	990192370970206441	HT017327170	
mapping	990079085840206441	HT002906258	
mapping	990078715810206441	HT002329222	
mapping	990008897380206441	HT002611893	
mapping	990010343120206441	HT002801025	
mapping	990059675900206441	HT001053073	
mapping	990154540580206441	HT014865590	
mapping	990109196640206441	HT012767624	
mapping	990052694280206441	HT001246841	
mapping	990052746780206441	HT001252880	
mapping	990121314240206441	HT013811088	
mapping	990225546700206441	HT019747063	
mapping	99371023568006441	HT021122380	
mapping	990112271140206441	HT012899269	
mapping	990062678820206441	HT003027411	
mapping	990077268640206441	HT001723869	
mapping	990002899870206441	HT000330486	
mapping	990054075810206441	HT001379859	210677-2
mapping	990126151500206441	HT014002680	
mapping	990129095850206441	HT014040034	
mapping	990017028110206441	HT004334639	
mapping	990077112070206441	HT001669783	
mapping	990006177160206441	HT000703439	
mapping	990058039940206441	HT007660737	
mapping	990056814120206441	HT001402560	
mapping	990062703860206441	HT003040724	
mapping	990063144090206441	HT003298179	
mapping	990084426150206441	HT007344239	
mapping	990055471190206441	HT006986883	622999-2
mapping	990132135930206441	HT014081772	
mapping	990133949470206441	HT014265258	
mapping	990170810590206441	HT015637911	
mapping	990118633380206441	HT013539772	
mapping	990189958660206441	HT017091595	
mapping	990039477280206441	HT009587141	
mapping	990052628320206441	HT001238604	
mapping	990052899880206441	HT002137275	
mapping	990160491290206441	HT015342220	
mapping	990078960550206441	HT002813830	
mapping	990063088660206441	HT003268785	
mapping	99371090195806441	HT021170536	
mapping	990060873100206441	HT001205099	
mapping	990191578360206441	HT017249486	
mapping	990084528760206441	HT007434012	
mapping	990177378110206441	HT016132093	
mapping	990195268430206441	HT017611017	
mapping	990183898020206441	HT016686701	
mapping	990370018430206441	HT020808567	
mapping	99371726771006441	HT021567241	
mapping	990110439810206441	HT012893359	
mapping	990111059790206441	BT000059407	
mapping	990111843270206441	BT000137968	
mapping	990056791980206441	HT000981542	
mapping	990059154260206441	HT000984986	
mapping	99373341270606441	HT030608615	
mapping	99373268273006441	HT030403070	
mapping	990052676640206441	HT001244695	
mapping	990078274490206441	HT002104797	
mapping	990078747200206441	HT002346583	
mapping	990116486790206441	HT013324245	
mapping	990155253940206441	HT014933262	
mapping	990108902270206441	HT012737684	
mapping	990175539200206441	HT015974903	
mapping	990183760900206441	HT016673560	
mapping	990033590700206441	HT008447129	
mapping	990208472400206441	HT018687981	
mapping	990076116960206441	HT001118541	
mapping	990204447960206441	HT018314260	
mapping	990111847830206441	BT000138428	
mapping	990112187750206441	BT000172872	
mapping	990053306330206441	HT005023108	
mapping	99371347581306441	HT021368076	
mapping	99374024120806441	HT030751774	
mapping	990047762460206441	HT001321519	
mapping	990059360690206441	HT001010699	
mapping	990225849700206441	HT019777240	
mapping	990052912240206441	HT002156208	
mapping	990052770250206441	HT001255648	
mapping	990110872350206441	BT000040651	
mapping	990059047090206441	HT000971224	
mapping	990101706070206441	HT012018024	
mapping	990057368760206441	HT000799110	
mapping	990052906580206441	HT002154770	
mapping	990053047290206441	HT003262200	
mapping	990056734640206441	HT001405265	
mapping	990057377680206441	HT000937988	
mapping	990078274510206441	HT002104800	
mapping	990010687800206441	HT002895596	
mapping	990176992030206441	HT016093902	
mapping	990004659970206441	HT000531581	
mapping	990064688450206441	HT004217521	
mapping	990052589700206441	HT001234033	
mapping	990052697310206441	HT001247215	
mapping	990052636270206441	HT001239476	
mapping	990211154700206441	HT018944599	
mapping	990227154660206441	HT019907749	
mapping	990125397660206441	HT013992634	
mapping	990108937890206441	HT012741302	
mapping	990111989550206441	BT000152790	
mapping	990053102340206441	HT003578729	
mapping	990006132160206441	HT000698411	
mapping	990205739410206441	HT018437844	
mapping	990059183660206441	HT000988687	
mapping	990001975900206441	HT000225704	
mapping	99371023558106441	HT021122300	
mapping	990058505910206441	HT000901832	
mapping	990068661090206441	HT007277765	
mapping	990058568050206441	HT000909153	
