zdbId	source
2565028-2	ALEPH
2573787-9	ALEPH
2574244-9	ALEPH
2577469-4	ALEPH
2577584-4	ALEPH
257967-4	ALEPH
2582747-9	ALEPH
2584773-9	ALEPH
2584774-0	ALEPH
2591-4	ALEPH
2593-8	ALEPH
2596099-4	ALEPH
2596874-9	ALEPH
2598240-0	ALEPH
2601647-3	ALEPH
2602403-2	ALEPH
2606130-2	ALEPH
2613595-4	ALEPH
2617-7	ALEPH
261796-1	ALEPH
261804-7	ALEPH
2620-7	ALEPH
2630-X	ALEPH
2630460-0	ALEPH
2631-1	ALEPH
2633390-9	ALEPH
2634426-9	ALEPH
2634456-7	ALEPH
2638741-4	ALEPH
2639833-3	ALEPH
2640025-X	ALEPH
2640030-3	ALEPH
264313-3	ALEPH
2643886-0	ALEPH
2647113-9	ALEPH
2648-7	ALEPH
2652-9	ALEPH
2653115-X	ALEPH
2653398-4	ALEPH
2654-2	ALEPH
2656507-9	ALEPH
2657-8	ALEPH
2659507-2	ALEPH
2659541-2	ALEPH
2672249-5	ALEPH
2674-8	ALEPH
2674145-3	ALEPH
2676-1	ALEPH
2682924-1	ALEPH
2692169-8	ALEPH
2692822-X	ALEPH
2694149-1	ALEPH
2695147-2	ALEPH
2695925-2	ALEPH
2696-7	ALEPH
2700933-6	ALEPH
2701096-X	ALEPH
2705946-7	ALEPH
